- (1)
correct_link (0.0.1)
correios (0.6.0)
correios-frete (1.0.2)
correios-sro (2.0.2)
correlate (0.1.1)
correlation (0.0.3)
corrency (0.1.1)
correspondence (0.0.1)
corrupt (0.3.7)
cortex-reaver (0.3.1)
corto (0.99.0)
corus (0.1.0)
corx (0.1.7)
coryodaniel-milton (0.3.7)
coryodaniel-stories (0.1.4)
cosell (0.0.2)
cossincalc (1.0.10)
costagent (0.2.4)
cotendo (0.0.4)
cotta (1.0.0)
cotweet-authlogic (2.1.6)
cotweet-bitly (0.5.2)
cotweet-fakeweb (1.3.0)
cotweet-nestful (0.0.3)
cotweet_koala (0.8.0.1)
couch (0.2.1)
couch-client (0.1.2)
couch-quilt (0.5.1)
couch-replicate (0.0.3)
couch-shell (0.0.8)
couch_cloner (0.1.1)
couch_crumbs (0.0.2)
couch_docs (1.3.1)
couch_foo (0.8.7)
couch_i18n (0.0.7)
couch_loafer (0.1.0)
couch_photo (0.0.5)
couch_potato (0.5.7)
couch_potato-extensions (0.0.7)
couch_potato-rails2 (0.5.10)
couch_publish (0.0.3)
couch_scheduler (0.2.1)
couch_surfer (0.3.4)
couch_tomato (0.2.0)
couch_view (0.1.1)
couch_visible (0.1.1)
couchapp (0.1.7)
couchbase-memcached (1.2.9)
couchbase-ruby-client (0.9.5)
couchc (0.1.0)
CouchCamping (0.0.2)
couchchanges (0.2)
couchdb (0.2.0)
couchdb-ruby (0.8.0)
couchdb-utils (0.0.1)
couched (0.0.0)
couchio (0.1.0)
couchless (0.0.4)
couchmodel (0.1.5)
couchobject (0.6.1)
couchpack (0.2.2)
couchpop (0.1.1)
couchpopulator (0.2.0)
couchproxy (0.2.0)
couchr (0.0.0)
couchrest (1.1.2)
couchrest-uniqueness-validation (0.2.1)
couchrest_extended_document (1.0.0)
couchrest_localised_properties (0.1.1)
couchrest_model (1.1.2)
couchrest_model-radiant (1.0.0)
couchrest_model_config (0.2.2)
couchrest_model_search (0.0.4)
couchrest_model_slug (0.0.2)
couchsphinx (0.2)
couchup (0.1.0)
couchwatcher (0.1.1)
coulda (0.7.1)
coulda_web_steps (0.6.8)
coulis (0.1.2)
countdownlatch (1.0.0)
counted_each (0.0.4)
counter (0.5.31)
counterfeit (0.0.3)
counters (1.3.1)
countloc (0.4.0)
countries (0.6.0)
country (0.0.1)
coupa-libxml-ruby (1.1.4)
coupler (0.0.8 java)
courier (0.2.4)
cover-up (0.2)
cover_me (1.1.2)
coverage (0.3)
coverage-printer (0.1.0)
cowboycoded (0.0.4)
cowtech-extensions (1.1.1.0)
cowtech-lib (1.9.6.3)
cowtech-rails (2.0.0.0)
coyote (0.5.1)
coypond (0.2.4)
cp (0.0.2.1)
cpa (0.0.3)
cpanel (0.1.2)
cpf (0.2.1)
cpf_faker (1.3.0)
cpf_validator (0.2.0)
cplus2ruby (1.2.0)
cplusplus (1.0.1)
cppthor (0.0.1)
cpr (0.1.1 darwin linux)
cpr_adressematch (0.2.0)
cps-client (0.0.8)
cpsn (0.6.2)
cpu (0.0.3)
cpuid (0.4.0)
cql-ruby (0.8.2)
crack (0.1.8)
crackoid (1.0.1)
crackup (1.0.1)
crafty (0.2.0)
crags (2.2.1)
craigler (1.3.0)
craigp-smartcall (0.0.2)
cramp (0.15.1)
crane (0.2.2)
crank (1.2)
crankshaft (0.0.2)
cranky (0.2.0)
crapapult (0.0.8)
crappy_gem (0.1.1)
crapshoot (0.4.0)
crash-watch (1.1.1)
crash_hook (0.2.0)
crasher (0.0.1)
cratchit (1.0.3)
crate (0.2.1)
crate_api (0.1.1)
crawdad (0.1.0)
crawlable (0.0.1.8)
crawler (0.2.1)
crawlfish (0.0.3)
crayon (1.1.0)
crazy_ivan (1.2.4)
crazycode-cap-recipes (0.4.13)
crazydoll (0.0.1)
crazylegs (0.1.2)
crb (1.0.1)
cream (0.9.2)
create (0.1.3)
create-new (1.0)
create-rails-dev-db (0.1.0)
create_rails_mysql_db (0.2.3)
create_table (0.0.6)
create_valid (0.2.0)
created-and-updated-by (0.1.3)
createsend (0.3.2)
creator (0.5.0)
creature (0.0.6)
credentials (2.4.3)
credit_card_validator (1.0.1)
credit_officer (0.2.1)
creditcard (1.0)
cregexp (0.2.0)
creole (0.4.2)
crewait (0.1.7)
crfpp (0.0.4)
cri (2.0.2)
cricinfo (0.0.4)
crisp (0.1.0)
criteria (0.0.3)
crm114 (1.0.3)
crnixon-jekyll (0.5.2)
croc (1.0.0)
crock (0.1)
crocoduck (0.0.5)
cromwell (0.4.0)
cron-spec (0.1.2)
cron_wrapper (0.0.11)
crondonkulous (1.0.0)
cronedit (0.3.0)
cronin (0.0.4)
cronos (0.4.0)
cronque (0.0.1)
crontab (0.0.2)
crontab-parser (0.1.0)
crontabwrap (0.3.0)
crontest (0.1.0)
croptoelie (0.4.0)
cross-stub (0.2.4)
crosscase (0.0.1)
crossref (0.0.4)
crossroads_capistrano (1.4.35)
crosstab (0.1.2)
crow (0.1.2)
crowd (0.5.3)
crowd-auth (0.0.3)
crowd-stefanwille (0.5.11)
crowd_client (0.0.6)
crowd_rails (0.5.11)
crowd_rest (0.0.2)
crowdflower (0.6.8)
crown (0.0.10)
cruby (0.0.1)
crud_for (0.0.3)
crudcontroller (0.1.2)
crudify (0.0.6)
crudspec (0.2.0)
CRUDtree (0.1.1)
crudtree (0.1.2)
cruiseface (1.0.1)
cruisestatus (1.3.2)
crumble (0.1.3)
crumby (0.0.0)
crummy (1.2)
crunch (0.0.0)
crush (0.3.3)
crusher (0.0.8.1)
crusher-eventmachine (0.12.11)
crushserver (0.3.6)
cruyff (0.1.0)
crxmake (2.0.6)
crypt (1.1.4)
crypt-fog (1.0.1)
crypt-isaac (0.9.1)
crypt-rot13 (1.0.5)
crypt-tea (1.3.0)
crypt19 (1.2.1)
crypt3 (1.1.2)
cryptkeeper (0.2.8)
crypto (0.0.3)
crypto64 (1.0.0)
cryptopp (0.0.4)
crystal (0.0.13)
crystal-ext (0.0.3)
crystal_ext (0.0.11)
crystalizer (0.2.2)
cs-httpi (0.9.5.2)
cs210-gcal4ruby (0.6.9.1)
cs210-gdata4ruby (0.2.0)
cs50 (0.1.3)
cs_sln_graph (0.0.6)
csd (0.4.3)
cses (0.3.0.0)
csp (0.0.1)
csquares (0.1.0)
css (0.0.4)
css-annotate (2.0.0)
css-annotated (0.1.0)
css-get (0.1.0)
css-lightbox (0.2.0)
css-slideshow (0.2.0)
css-spriter (1.0.1)
css2cocoa (0.3.1)
css3-now (0.1.2)
css3-ribbons (1.0.1)
css3buttons (1.0.1)
css3buttons-rails (1.0.0)
css_browser_selector (0.3.2)
css_graphs (0.1.0)
css_image_embedder (0.2.0)
css_inliner (0.1.0)
css_naked (1.0.1)
css_parser (1.1.9)
css_parser_1.1.0 (1.1.0)
css_parser_master (1.2.4)
css_primer (0.2)
css_selector (1.0.0)
css_shapes (0.8.0)
css_sprite (1.4.10)
css_toolkit (1.4)
css_tt (0.0.3)
css_views (0.5.3)
cssdryer2 (0.1.4)
cssensible (0.3.0)
csses (1.0.0)
cssex (0.1.0)
cssmenu (0.1.0)
cssmin (1.0.2)
csspool (2.0.0)
csspress (0.0.4)
csstree (0.0.1)
csswaxer (0.0.8)
csteamer (0.1.0)
cstruct (1.0.0)
csun-student-affairs-supermodel (0.1.5)
csv-as-map (0.0.1)
CSV-datagen (0.1.1)
csv-hash (0.1.2)
csv-import (0.0.1)
csv-mapper (0.5.1)
csv-omg (1.1.8)
csv2json (0.2.0)
csv2plist (0.0.1)
csv2qif (0.0.1)
csv2sql (0.3.070927135848)
csv_builder (2.0.1)
csv_importer (0.0.4)
csv_mapper (0.0.2)
csv_pirate (5.0.4)
csv_renderer (0.0.1)
csv_report_generator (0.4.1)
csv_schema (0.0.3)
csv_store (0.1.1)
csv_streamer (0.0.3)
csv_to_sqlite (0.0.3)
csvgen (1.0.2)
csvget (0.4.0)
csvify (0.1.0)
csvobj (1.0)
csvparser (0.1.1)
csvscan (0.1.0)
ctapi (0.2.3)
ctioga (1.11)
ctioga2 (0.2)
ctype (0.2.0)
cuba (2.1.0)
cuba-sugar (0.1.1)
cubbyhole (0.1.1)
cubicle (0.5.2)
cubrid (0.64, 0.61 x86-mingw32, 0.6 x86-mswin32-60)
cubus-settingslogic (2.2.0)
cuby (0.1.5)
cuca (0.07)
cucover (0.1.4)
cucumba (0.0.6)
cucumber (1.0.2)
cucumber-api-steps (0.4)
cucumber-chef (1.0.3)
cucumber-cinema (0.7.2)
cucumber-farmer (1.0.3)
cucumber-in-the-yard (1.7.8)
cucumber-java (0.0.2)
cucumber-json (0.0.2)
cucumber-mingle (1.0.0)
cucumber-nagios (0.9.2)
cucumber-newrelic (0.0.2)
cucumber-puppet (0.3.3)
cucumber-rails (1.0.2)
cucumber-scout (0.0.2)
cucumber-screenshot (0.3.4, 0.2.3 universal-darwin)
cucumber-selenium-standalone (0.0.3)
cucumber-sinatra (0.4.0)
cucumber-standalone (0.0.1)
cucumber-usual_suspects (0.0.1)
cucumber-websteps (0.9.0)
cucumber-wordpress (1.3.1)
cucumber2rspec (0.1.0)
cucumber_factory (1.8.1)
cucumber_growlnotify (0.2.0)
cucumber_off_rails (0.0.2)
cucumber_rails3_gen (0.1.2)
cucumber_scaffold (0.1.5)
cucumber_spinner (0.2.2)
cudan (0.0.5)
cuecat (1.1.0)
cuit (0.0.1)
cukable (0.1.3)
cuke-inspector (0.0.9)
cuke-irb (0.0.1)
cuke-patterns (0.1.6)
cuke-test (0.0.1)
cuke4duke (0.4.4, 0.3.2 java)
cuke4nuke (0.4.0)
cuke4nuke-aslakjo (0.3.5)
cuke4php (0.9.8)
cuke_ci_workers (0.3.1)
cuke_data (1.0.0)
cuke_iterations (0.0.1)
cuke_profiles (0.0.3)
cuke_puke (0.1.0)
cuke_writer (0.0.1)
cukecooker (0.2)
cukeforker (0.1.3)
cukehead (0.1.1)
cukemin (0.1.2)
cuken (0.1.13)
cukeplusplus (0.0.6)
cukeregator (0.1.3)
cukesalad (0.7.0)
cuketagger (1.5)
cul-fedora (0.8.6)
cul-fedora-arm (0.6.0)
cul-handles (0.2.0)
culerity (0.2.15)
culler (0.0.1)
culturegrid (0.1.2)
cumulus_csv (0.1.0)
cunfug (0.0.2)
cupid (0.0.2)
cuporter (0.3.14)
cuprint (0.2.0)
cups (0.0.7)
cupsffi (0.0.5)
curb (0.7.15, 0.7.7 x86-linux, 0.5.8.0 x86-darwin-10)
curb-fu (0.6.0)
curb-openuri (0.2.1)
curbit (0.2.0)
curdbee (0.0.9)
cure_acts_as_versioned (0.6.0)
curies (0.0.2)
curl (0.0.9)
curl-multi (0.2)
curl_ffi (0.0.8)
curltube (0.0.1)
curly (0.0.3)
curly_mustache (0.1.0)
currencies (0.4.0)
currency (0.4.11)
currency_rates (0.1.0)
currency_select (0.1.2)
currency_spy (0.0.4)
currency_switcher (0.0.1)
currency_updater (1.0.3)
CurrencyString (0.0.2)
current (1.0.7)
current_gem (0.0.5)
current_metar (0.1.1)
current_object (0.2.1)
currentcost (0.3.4)
currentcostd (1.4.5)
currently (0.0.2)
currmap-sesame (0.1.1)
cursesx (003)
cursor (0.9)
curve_fit (0.1.1)
custom-attributes (0.2.23)
custom-range (0.1)
custom_attributes (0.1.0)
custom_benchmarks (0.0.3)
custom_boolean (0.1.5)
custom_change_messages (0.2.0)
custom_counter_cache (0.0.2)
custom_error_message (1.0.0)
custom_error_messages (0.1.0)
custom_errors_handler (0.2.3)
custom_field_error (1.0.0)
custom_fields (0.0.0.1)
custom_layout (0.0.4)
custom_range (0.1)
custom_rspec_matchers (0.0.3)
custom_validators (1.0.0)
customized-mongomapper-search (1.0.3)
custos_notifier (0.3.6)
cutagem (0.0.7)
cutep (1.0.0)
cutest (1.1.2)
cutest-report (0.0.1)
cuts (1.0.0)
cutter (0.8.2)
cuttlebone (0.1.5)
cv (0.0.7)
cv-user-agent (1.0.2)
CVEasy (1.0.0)
cvstools (0.9.0)
cwiid (0.1.3)
cwords (0.1.14, 0.1.8 jruby)
cxxproject (0.4.6)
cyaml (0.0.34)
cyc-console (0.0.5)
cycle_chef_handler (1.2.0)
cyclop (0.1.4)
cycr (0.0.8)
cylon (0.0.2)
cymruwhois (0.0.2)
cynergy-webrat (0.6.0)
cyphrb (1.0.1)
Cyrillizer (0.1.1)
cyrillizer (0.1.0)
czak-authlogic-oid (1.0.5)
czj-paperclipftp (0.1.2)
d (1.2.0)
d8a (0.0.1)
da-suspenders (1.0.3)
da_huangs_ruby_extensions (0.0.25)
daapclient (0.2.3)
dabcup (0.1.2)
dacs (0.4.0)
dada (0.0.1)
daedalus (2.0.1)
daeltar-clockwork (0.2.4)
daeltar-enum_field (0.2.1)
daemon-kit (0.1.8.1)
daemon-spawn (0.4.2)
daemon_controller (0.2.6)
daemonchild (0.0.2)
daemonize (0.0.1)
daemonizer (0.4.16)
daemonizr (0.1.0)
daemons (1.1.4)
daemons-mikehale (1.0.14)
daemontor (0.0.1)
daemonz (0.3.3)
dagnabit (3.1.1)
daijisen (0.0.5)
daikini-immortalize (0.2.6)
daikon (0.8.15)
dailybooth-cache-money (0.2.13)
dailydealr (1.0.0)
dailymile-ruby (0.2.0)
dalli (1.1.1)
dam (0.3.0)
dam_lev (1.0.1)
damagecontrol (0.5.0.1404)
damerau-levenshtein (0.5.3)
dancing-links (0.1)
dandelion (0.3.2)
dango (0.5.2)
dango_generator (0.5.2)
danieldkim-evergreen (0.4.0.6)
danielharan-cijoe (0.1.2)
danielharan-mongo_mapper (0.6.5)
danieljohnmorris-shadow_puppet (0.3.4)
danmayer-resume (0.0.4)
dansguardian (0.5.2.1)
danske_helligdage (1.0.1)
dao (3.3.0)
dapper-dan (0.4.0)
daps (0.0.2)
dar_da_da (0.0.1)
darcs-ruby (0.0.1)
dark-capistrano-recipes (0.8.4)
dark_domains (0.0.1)
darkext (0.12.0)
darkfish-rdoc (1.1.5)
darkhelmet-sanitize (1.2.0.20091104)
darkhelmet-sinatra (0.10.1)
darkhelmet-sinatra_more (0.3.36)
darkofabijan-astrails-safe (0.2.9)
darkofabijan-webrat (0.6.1)
darkside_capistrano_colors (0.5.3)
darrell-activewarehouse-etl (0.9.1.6)
darrell-geokit (1.5.0.4)
dartboard (0.1.1)
darvin_functions (0.0.2)
darwin (0.0.1)
dash (0.3.1)
dash-bees (0.32)
dash-fu (1.0.1)
dash-mario (0.17)
dashboard (0.0.0)
dashcode-converter (0.1.0)
dasil003-sanitize (1.1.1)
dasil003-tm_syntax_highlighting (1.9.0)
data-attributes (0.2)
data-calendar (0.1.0)
data247 (0.3.0)
data_bank (0.2.0)
data_calendar (0.1.3)
data_cleaner (0.0.4)
data_dumper (1.0.0)
data_fabric (1.3.2)
data_frame (0.1.8)
data_graph (1.0.0)
data_loader (0.2.0)
data_mapper (1.1.0)
data_migrate (1.1.0)
data_migrations (0.0.1)
data_migrator (1.5)
data_miner (1.2.4)
data_miner-ruby19 (0.5.4)
data_objects (0.10.6)
data_paths (0.3.0)
data_prep (0.0.1)
data_resurrection (0.1.2)
data_sampler (0.0.2)
data_table (0.2.1)
data_transformation (1.1.1)
data_translation (1.1.0)
data_transport (0.3.3)
data_uri (0.0.3)
database_cleaner (0.6.7)
database_loader (0.1.0)
database_resetter (0.1.0)
database_sleuth (1.0.0)
database_validation (0.0.6)
databasedotcom (1.0.7)
databasedotcom-rails (1.0.0)
databasion (0.2.3)
databrick (0.2.4)
databrowser (1.0.1)
datacatalog (0.4.22)
datacatalog-importer (0.3.1)
dataflow (0.3.1)
datagraph (0.0.0)
datagrid (0.3.6)
datalink-socket (0.0.2)
dataloaderb (0.0.3)
datamapper (1.1.0)
datamapper4rail (0.2.0)
datamapper4rails (0.5.2)
DatamapperRackStreamer (0.1)
datamappify (0.2.2)
datapage (0.0.1)
dataset (1.3.2)
datatables (1.0.0)
datatablesnet (1.1.4)
datatrans (2.2.1)
dataview (0.3.1)
date-casually (0.2.0)
date-performance (0.4.8)
date4 (0.1.29)
date_checkbox (0.0.1)
date_easter (0.0.1)
date_ext (0.1.2)
date_filter (1.0.0)
date_formatter (0.0.2)
date_range (0.0.0)
date_range_scopes (0.0.1)
date_scopable (0.0.3)
date_scopes (0.1.5)
date_time-duration (0.0.1)
date_time-smart (0.0.3)
date_tools (0.0.2)
date_utils (0.2.1)
date_validator (0.6.2)
dated_backup (0.2.1)
dated_version (2008.07.0)
dateranger (0.3.0)
datetimespan (0.1.0)
DateUtils (0.4)
datify (0.50.0)
datizzle (0.1.1)
datts_right (0.0.32)
daum (0.1.1)
daum_oauth (0.1.2)
dav4rack (0.2.8)
davber_couch_potato (0.4.0)
davber_couchrest_extended_document (1.0.0)
davclient (0.0.8)
davegem (0.0.7)
david-capybara (0.3.9.1)
davidray-paperclip (2.3.3)
davidtrogers-cucumber (0.6.2)
davidtrogers-htmldiff (0.0.1)
davidtrogers-selenium-grid (0.0.1)
davidtrogers-webrat (0.7.0)
davidyang-resque-scheduler (1.10.11)
dawanda-sqlite3 (1.3.3)
dawanda-statsd-client (0.1.6)
dawanda_client (0.2.3)
day (0.0.1)
day-of-the-week (0.0.1)
daylife (0.1.0)
daylite-models (0.1.1)
days_and_times (1.0.2)
dayvan (0.1.3)
db (0.4.0)
db-charmer (1.7.0)
db-copier (0.0.1)
db-entropy (0.3.1)
db-populator (0.1.13)
db2 (2.6.2)
db2fog (0.5.1)
db2s3 (0.3.2)
db_cull (0.0.0)
db_discovery_generator (0.1.1)
db_graph (0.1.6)
db_migration_scaffolder (0.0.2)
db_mlp (0.0.8)
db_populate (0.2.6)
db_reference (0.0.8)
db_rocket (0.0.2)
db_structure (1.0.2)
db_tasks (0.0.1)
dbagile (0.0.2)
dball-mail (2.2.9.7)
dbarison_curriculum (0.0.6)
dbc (2.0.0)
DBcache (0.1.2)
dbd-adonet (0.3.2)
dbd-adonet-sqlserver (0.3.2)
dbd-jdbc (0.1.4)
dbd-mysql (0.4.4)
dbd-odbc (0.2.5)
dbd-pg (0.3.9)
dbd-sqlanywhere (0.1.2)
dbd-sqlite (0.1.2)
dbd-sqlite3 (1.2.5)
dbd4 (1.0.7)
dbdiff (0.2.0)
dbdom (0.0.1)
dbf (1.6.0)
dbf_write (0.1.2)
dbi (0.4.5)
dbi-dbrc (1.1.8 ruby x86-mingw32, 1.1.6 x86-mswin32-60)
dblp (0.4.5)
dbm (0.0.0)
dbmodel (0.1.0)
dbortz-simple_xlsx_writer (0.5.3)
dbox (0.4.4)
dboyles-restful_adhearsion (0.1.1)
dbplot (0.0.5)
DBrb (0.1.1)
dbuddy (0.2.0)
dbupdate (0.0.0)
dbus (0.1.10)
dbus-dump (0.2.1)
dc-util (0.0.2)
dcache (0.0.0)
dcas-ruby (0.4.0)
DCGOV (0.0.1)
dcolthorp-bistro_car (0.2)
dcov (0.2.2)
dcss (0.3)
dctl (1.0.3)
dcu-devise (1.0.7)
dcu-purple_ruby (0.7.0)
dcuddeback-octopi (0.2.12)
dd (0.1.1)
ddao-kwalify (0.7.1)
ddate (1.0.0)
dde (0.2.11)
ddi-parser (0.0.1)
ddns (0.1.6)
ddollar-test-gem (0.1.0)
ddpi (0.0.6)
de (0.0.2)
De.linque.nt (0.0.1)
de.oddb (2.0.1)
de_beers (1.0.0)
deactivatable (0.1.1)
dead_view_catcher (0.1)
deadbolt (0.1.2)
deadlinez (0.1.2)
deadlock_retry (1.1.1)
deadpool (0.1.5)
deadweight (0.2.1)
dealer (0.0.0)
dealmap (0.0.9)
deals_with (0.0.6)
death_and_taxes (0.0.3)
deathbycaptcha (4.0.1)
DebianPackageDownloader (0.6.0)
debitech_soap (0.0.3)
debprado-rvideo (0.9.6)
debra (0.0.6)
debug_log (0.1.0)
debugbar (0.0.1)
debuggie (1.0.0)
debugprint (1.0.0)
debugserver (0.1.1)
decaptcha (0.0.0)
decaying_bloomfilter (0.0.1)
decent_exposure (1.0.1)
decider (2.0.0)
decimal (0.1.0)
decision_tree (0.1.0)
decisiontree (0.3.0)
deck (1.1.2)
deckard (0.5.12)
deckshuffler (0.0.2)
declarative-find (1.0.1)
declarative_authorization (0.5.3)
declarative_authorization-dta (0.1.3)
declarative_authorization_padrino (0.1.2)
decoct (0.1.1)
decoder (0.8.1)
decor (0.1.0)
decorate (0.3.0)
decoration_mail (0.2.4)
dedupe (0.0.0)
deeby (1.0.0)
deep_attributes (0.0.0)
deep_clonable (1.1.0)
deep_cloneable (1.3.0)
deep_copy (0.0.3)
deep_hash (0.0.2)
deep_merge (1.0.0)
deep_test (1.2.2)
deep_test_pre (2.0)
deepbeige (0.2.3)
DeepConnect (0.4.06.007)
deeply_valid (0.1.7)
deepopenstruct (0.1.2)
def (0.0.2)
deface (0.6.1)
default-url-options-for-mailers (0.2.1)
default_classes_for_form_inputs (2.0.0)
default_value_for (1.0.5)
defaults (0.1.1)
defaults_for (0.0.2)
defender (2.0.2)
defensio (0.9.1)
deferrable (0.1.0)
deferrable_gratification (0.3.1)
define (0.0.6)
define_columns (0.1.0)
define_exception (0.0.3)
define_images (0.1.1)
defined (0.0.2)
defined-by (0.0.6)
defined_hash (0.2.0)
defly (0.2.0)
defmacro (0.0.2)
defmacro-unicorn (0.0.2)
defstr (0.1.1)
degrade (0.1.0)
dehumanize (1.0.0)
deja-vu (0.5)
deja_vue (0.1.2)
dekart-paperclip (2.3.1.2)
delaycalc (0.2.0)
delayed_acts_as_geocodable (1.0.3)
delayed_form_observer (1.0.0)
delayed_job (2.1.4)
delayed_job-monitor (0.0.3)
delayed_job_admin (1.0.3)
delayed_job_data_mapper_ste (1.0.1)
delayed_job_extras (0.13.4)
delayed_job_groups (0.2.2)
delayed_job_groups_mongoid (0.3.4)
delayed_job_hooked (2.1.5)
delayed_job_mongo_mapper (1.0.0)
delayed_job_mongoid (1.0.4)
delayed_job_mongoid_beta_compatible (1.0.2)
delayed_job_on_steroids (2.0.2)
delayed_job_sequel (0.0.1)
delayed_job_tracer (1.0.6)
delayed_job_with_server_id (1.8.5.1)
delayed_mailer (1.0.4)
delayed_mailhopper (0.0.2)
delayed_paperclip (0.7.2)
delayed_task (0.1.4)
delegator (0.1.0)
delete_paranoid (1.0.2)
delete_softly (0.0.3)
delicious-api-via-oauth (0.1.0)
delicious-cli (0.4.1)
delicious-ext (1.0.0)
delicious_adder (0.2.1)
DeliciousRuby (1.0.0)
deliruby (0.1.0)
delish (1.0.0)
delivery_reroute (1.0.1)
delocalize (0.2.6)
delorean (1.1.0)
delphin (0.0.1)
delsolr (0.1.5)
delta-capistrano (0.2.0)
delta_attack (0.1.4)
delta_force (0.0.1)
deltacloud-client (0.3.1)
deltacloud-core (0.3.0)
deltoid (0.1.0)
deluxe_publisher (0.0.6)
demeter (2.0.3)
demeters_revenge (0.2)
demo-gem (0.1.1)
demo-reader (0.3.0)
demolisher (0.6.0)
demoman (1.1.0)
demrec (0.1.1)
denki_guy (0.1.3)
deordinalize (0.0.3)
dep_selector (0.0.8)
dep_walker (1.0.2)
depager (0.2.3)
depalma (0.1.1)
dependable (0.1.0)
dependence (0.0.8)
dependencies (0.0.9)
Dependency (1.0.0)
dependent_select (0.7.2)
depends (0.0.1)
depends_update (0.0.4)
DepGraph (0.10.0)
depix (2.0.0)
deplate (0.8.5)
deploy (0.0.3)
deploy_and_deliver (1.0.3)
deploy_couch (0.0.4)
deploy_kit (0.1.0)
deploy_mongo (0.0.1)
deploy_tasks (0.1.4)
deploy_tracker (0.0.4)
deploy_tracking (0.4.0)
deploy_version (0.2.0)
deployaml (0.1)
deployer (0.1.7)
deployflow (0.0.4)
deployhq (1.0.0)
deployment_notifier (1.0.0)
deployml (0.5.2)
deployr (1.1)
deployto (0.9.2)
deploytool (0.0.0)
deploytracking (0.1.0)
depo (0.0.8)
depq (0.4)
deprec (2.2.3)
deprec-core (3.1.14)
deprecatable (1.0.0)
deprecated (3.0.0)
depression (0.1.0)
deproll (0.0.1)
deps (0.1.0)
depth-charge (0.0.2)
deputy (0.1.56)
depwhack (0.0.5)
derail (0.0.1)
derailer (0.1.0)
derailleur (0.0.6)
DerGuteMoritz-rforce (0.4.2)
derickbailey-notamock (0.0.1)
deris (0.1.5)
derobo-imdb_og (0.5.2)
derp (0.0.5)
derring-do (1.0.0)
desc_method (0.1.8)
described_routes (0.8.3)
desert (0.5.4)
designate (0.0.2)
despamilator (2.0.1)
despamilator_rails (1.1)
despamilator_rails2 (1.0.2)
desperados (0.1)
desutwo (0.0.3)
detabulator (0.1.0)
detect_browser_os (0.1.0)
detective (0.3.0)
detest (3.1.3)
detroit (0.1.0)
detrusion (0.1.1)
dev-null (0.0.0)
dev-utils (1.0.1)
devape_calendar (0.0.2)
devape_cms (0.1.8)
devape_survey (0.0.5)
devball (0.8)
devcreek (0.5)
developergarden_sdk (0.9.2)
development_mail_interceptor (0.1.2)
device_atlas (1.3.1)
device_aware (0.2.0)
device_space_left (0.1.1)
devil (0.1.9.5 ruby i386-mingw32 i386-mswin32, 0.1.9.1 x86-mswin32-60)
devinosmsclient (0.0.4)
devisable (0.2.0)
devise (1.4.4)
devise-french (1.0.2)
devise-links (0.2.3)
devise-login-cookie (0.1.2)
devise-neo4j (1.0.2)
devise-spec (0.1.3)
devise-twitter (0.1.1)
devise_active_directory_authenticatable (0.4.1)
devise_aes_encryptable (0.2.3)
devise_authenticator (0.0.3)
devise_autosigninable (1.0.0)
devise_bushido_authenticatable (1.0.0)
devise_certifiable (0.1.0)
devise_couch (0.1.2)
devise_couch_potato (0.0.2)
devise_ennder (1.4.1.0.9)
devise_facebook_connectable (0.2.2)
devise_facebook_open_graph (0.0.6)
devise_imap_authenticatable (0.6.2)
devise_imapable (0.5.1)
devise_invitable (0.5.4)
devise_koala_connectable (0.1.4)
devise_lastseenable (0.0.4)
devise_ldap_authenticatable (0.4.9)
devise_loginza (0.0.2)
devise_meetup_authenticatable (0.2.0)
devise_oauth2_authenticatable (0.1.0)
devise_oauth2_canvas_facebook (0.0.10)
devise_oauth2_facebook (0.1.50)
devise_oauth2_facebook_mongoid (0.1.0)
devise_oauth2_fb_canvas (0.0.1)
devise_oauth2_providable (0.3.7)
devise_oauth2_token_bearer_authenticatable (0.0.1)
devise_openid_authenticatable (1.0.0)
devise_pam_authenticatable (1.0.3)
devise_password_changable (0.1.0)
devise_paypal (0.0.1)
devise_pg_authenticatable (0.2.0)
devise_rails3_ennder (1.0.5)
devise_referable (0.3.0)
devise_restful_auth (0.1.3)
devise_revokable (0.0.3)
devise_rpx_connectable (0.2.2)
devise_security_extension (0.4.2)
devise_sequel (0.0.3)
devise_sms_activable (0.0.9)
devise_suspendable (0.6.1)
devise_ticketable (0.0.1)
devise_traceable (0.0.5)
devise_views_translated (0.2.2)
devise_w3_authenticatable (0.3.2)
devise_webmoney (0.0.7)
devmail (0.0.1)
devnull (0.1.0)
devolute-actionwebservice (2.3.11)
devry (0.0.3)
devserver (0.0.5)
devstructure (0.5.4)
devver-metric_fu (1.3.3)
devver-octopi (0.2.14)
devver-rack-contrib (0.9.7)
devver-right_aws (1.10.99)
devver-right_http_connection (1.2.99)
devver-Saikuro (1.2.0)
devver-ultraviolet (0.10.5)
dew (0.2.2)
dewey (0.2.8)
dexquery (0.0.0)
dexter (0.1.0)
dfc (2.0.0)
dfect (2.2.0)
dfhcc_classifier (1.3.3)
dflat (0.0.4)
dgdosen-first-gem (0.0.1)
dgdosentestgem (0.0.1)
dgh (0.1.2)
dguerri-libarchive (0.1.2)
dguerri-radiustar (0.0.5)
dh_api (0.0.1)
dhaka (2.2.1)
dhcp (0.0.1)
dhill-sprinkle (0.3.3.1)
dhkeyexchange (1.0.0)
dhun (0.8.2)
di (0.2.1)
di-acts-as-taggable (1.0.3)
di-simple_auth (0.3.5)
dia (2.2.2)
